ISO3,Country,Region,SubRegion,DevelopmentRegion,Total,Female,Male,RuralResidence,UrbanResidence,PoorestWealthQuintile,SecondWealthQuintile,MiddleWealthQuintile,FourthWealthQuintile,RichestWealthQuintile,DataSource,TimePeriod,Level
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,,Primary
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
ARG,Argentina,LAC,LAC,Less Developed,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,MICS 2011-12,2012.0,Primary
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
BRB,Barbados,LAC,LAC,Less Developed,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,MICS 2012,2012.0,Primary
BLZ,Belize,LAC,LAC,Less Developed,2.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0,MICS 2015-16,2016.0,Primary
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
BRA,Brazil,LAC,LAC,Less Developed,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,PNAD 2019,2019.0,Primary
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,Primary
CHL,Chile,LAC,LAC,Less Developed,1.0,1.0,2.0,1.0,2.0,,,,,,CASEN 2017,2017.0,Primary
COL,Colombia,LAC,LAC,Less Developed,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,DHS 2015,2015.0,Primary
CRI,Costa Rica,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,MICS 2018,2018.0,Primary
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
DOM,Dominican Republic,LAC,LAC,Less Developed,3.0,2.0,4.0,3.0,3.0,6.0,4.0,2.0,3.0,1.0,MICS 2014,2014.0,Primary
ECU,Ecuador,LAC,LAC,Less Developed,1.0,2.0,1.0,1.0,2.0,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019.0,Primary
SLV,El Salvador,LAC,LAC,Less Developed,4.0,3.0,4.0,5.0,3.0,8.0,4.0,2.0,2.0,0.0,MICS 2014,2014.0,Primary
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
GTM,Guatemala,LAC,LAC,Less Developed,6.0,6.0,5.0,6.0,4.0,9.0,7.0,5.0,2.0,2.0,DHS 2014-15,2015.0,Primary
GUY,Guyana,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,MICS 2014,2014.0,Primary
HTI,Haiti,LAC,LAC,Least Developed,8.0,8.0,9.0,11.0,4.0,21.0,8.0,4.0,3.0,2.0,DHS 2016-17,2017.0,Primary
HND,Honduras,LAC,LAC,Less Developed,7.0,6.0,7.0,7.0,6.0,7.0,5.0,4.0,5.0,14.0,Encuesta Permanente de Hogares 2018,2018.0,Primary
JAM,Jamaica,LAC,LAC,Less Developed,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,MICS 2011,2011.0,Primary
MEX,Mexico,LAC,LAC,Less Developed,1.0,1.0,1.0,2.0,1.0,,,,,,ENIGH 2018,2018.0,Primary
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,,Primary
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
PAN,Panama,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,MICS 2013,2013.0,Primary
PRY,Paraguay,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Encuesta Permanente de Hogares 2017,2017.0,Primary
PER,Peru,LAC,LAC,Less Developed,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,DHS 2012,2012.0,Primary
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
LCA,Saint Lucia,LAC,LAC,Less Developed,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MICS 2012,2012.0,Primary
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,,Primary
SUR,Suriname,LAC,LAC,Less Developed,2.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,MICS 2018,2018.0,Primary
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,MICS 2011,2011.0,Primary
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,Primary
URY,Uruguay,LAC,LAC,Less Developed,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,MICS 2012-13,2013.0,Primary
